date,intd
1/1/2004,2
2/1/2004,2
3/1/2004,2
4/1/2004,2
5/1/2004,2
6/1/2004,2.25
7/1/2004,2.25
8/1/2004,2.5
9/1/2004,2.75
10/1/2004,2.75
11/1/2004,3
12/1/2004,3.25
1/1/2005,3.25
2/1/2005,3.5
3/1/2005,3.75
4/1/2005,3.75
5/1/2005,4
6/1/2005,4.25
7/1/2005,4.25
8/1/2005,4.5
9/1/2005,4.75
10/1/2005,4.75
11/1/2005,5
12/1/2005,5.25
1/1/2006,5.5
2/1/2006,5.5
3/1/2006,5.75
4/1/2006,5.75
5/1/2006,6
6/1/2006,6.25
7/1/2006,6.25
8/1/2006,6.25
9/1/2006,6.25
10/1/2006,6.25
11/1/2006,6.25
12/1/2006,6.25
1/1/2007,6.25
2/1/2007,6.25
3/1/2007,6.25
4/1/2007,6.25
5/1/2007,6.25
6/1/2007,6.25
7/1/2007,6.25
8/1/2007,5.75
9/1/2007,5.25
10/1/2007,5
11/1/2007,5
12/1/2007,4.75
1/1/2008,3.5
2/1/2008,3.5
3/1/2008,2.5
4/1/2008,2.25
5/1/2008,2.25
6/1/2008,2.25
7/1/2008,2.25
8/1/2008,2.25
9/1/2008,2.25
10/1/2008,1.25
11/1/2008,1.25
12/1/2008,0.5
1/1/2009,0.5
2/1/2009,0.5
3/1/2009,0.5
4/1/2009,0.5
5/1/2009,0.5
6/1/2009,0.5
7/1/2009,0.5
8/1/2009,0.5
9/1/2009,0.5
10/1/2009,0.5
11/1/2009,0.5
12/1/2009,0.5
1/1/2010,0.5
2/1/2010,0.75
3/1/2010,0.75
4/1/2010,0.75
5/1/2010,0.75
6/1/2010,0.75
7/1/2010,0.75
8/1/2010,0.75
9/1/2010,0.75
10/1/2010,0.75
11/1/2010,0.75
12/1/2010,0.75
1/1/2011,0.75
2/1/2011,0.75
3/1/2011,0.75
4/1/2011,0.75
5/1/2011,0.75
6/1/2011,0.75
7/1/2011,0.75
8/1/2011,0.75
9/1/2011,0.75
10/1/2011,0.75
11/1/2011,0.75
12/1/2011,0.75
1/1/2012,0.75
2/1/2012,0.75
3/1/2012,0.75
4/1/2012,0.75
5/1/2012,0.75
6/1/2012,0.75
7/1/2012,0.75
8/1/2012,0.75
9/1/2012,0.75
10/1/2012,0.75
11/1/2012,0.75
12/1/2012,0.75
